nombre,link-Imagen,link-Pagina
Alchemist,https://es.dotabuff.com/assets/heroes/alchemist.jpg,https://es.dotabuff.com/heroes/alchemist
Axe,https://es.dotabuff.com/assets/heroes/axe.jpg,https://es.dotabuff.com/heroes/axe
Bristleback,https://es.dotabuff.com/assets/heroes/bristleback.jpg,https://es.dotabuff.com/heroes/bristleback
Centaur Warrunner,https://es.dotabuff.com/assets/heroes/centaur-warrunner.jpg,https://es.dotabuff.com/heroes/centaur-warrunner
Chaos Knight,https://es.dotabuff.com/assets/heroes/chaos-knight.jpg,https://es.dotabuff.com/heroes/chaos-knight
Dawnbreaker,https://es.dotabuff.com/assets/heroes/dawnbreaker.jpg,https://es.dotabuff.com/heroes/dawnbreaker
Doom,https://es.dotabuff.com/assets/heroes/doom.jpg,https://es.dotabuff.com/heroes/doom
Dragon Knight,https://es.dotabuff.com/assets/heroes/dragon-knight.jpg,https://es.dotabuff.com/heroes/dragon-knight
Earth Spirit,https://es.dotabuff.com/assets/heroes/earth-spirit.jpg,https://es.dotabuff.com/heroes/earth-spirit
Earthshaker,https://es.dotabuff.com/assets/heroes/earthshaker.jpg,https://es.dotabuff.com/heroes/earthshaker
Elder Titan,https://es.dotabuff.com/assets/heroes/elder-titan.jpg,https://es.dotabuff.com/heroes/elder-titan
Huskar,https://es.dotabuff.com/assets/heroes/huskar.jpg,https://es.dotabuff.com/heroes/huskar
Kunkka,https://es.dotabuff.com/assets/heroes/kunkka.jpg,https://es.dotabuff.com/heroes/kunkka
Legion Commander,https://es.dotabuff.com/assets/heroes/legion-commander.jpg,https://es.dotabuff.com/heroes/legion-commander
Lifestealer,https://es.dotabuff.com/assets/heroes/lifestealer.jpg,https://es.dotabuff.com/heroes/lifestealer
Mars,https://es.dotabuff.com/assets/heroes/mars.jpg,https://es.dotabuff.com/heroes/mars
Night Stalker,https://es.dotabuff.com/assets/heroes/night-stalker.jpg,https://es.dotabuff.com/heroes/night-stalker
Ogre Magi,https://es.dotabuff.com/assets/heroes/ogre-magi.jpg,https://es.dotabuff.com/heroes/ogre-magi
Omniknight,https://es.dotabuff.com/assets/heroes/omniknight.jpg,https://es.dotabuff.com/heroes/omniknight
Primal Beast,https://es.dotabuff.com/assets/heroes/primal-beast.jpg,https://es.dotabuff.com/heroes/primal-beast
Pudge,https://es.dotabuff.com/assets/heroes/pudge.jpg,https://es.dotabuff.com/heroes/pudge
Slardar,https://es.dotabuff.com/assets/heroes/slardar.jpg,https://es.dotabuff.com/heroes/slardar
Spirit Breaker,https://es.dotabuff.com/assets/heroes/spirit-breaker.jpg,https://es.dotabuff.com/heroes/spirit-breaker
Sven,https://es.dotabuff.com/assets/heroes/sven.jpg,https://es.dotabuff.com/heroes/sven
Tidehunter,https://es.dotabuff.com/assets/heroes/tidehunter.jpg,https://es.dotabuff.com/heroes/tidehunter
Timbersaw,https://es.dotabuff.com/assets/heroes/timbersaw.jpg,https://es.dotabuff.com/heroes/timbersaw
Tiny,https://es.dotabuff.com/assets/heroes/tiny.jpg,https://es.dotabuff.com/heroes/tiny
Treant Protector,https://es.dotabuff.com/assets/heroes/treant-protector.jpg,https://es.dotabuff.com/heroes/treant-protector
Tusk,https://es.dotabuff.com/assets/heroes/tusk.jpg,https://es.dotabuff.com/heroes/tusk
Underlord,https://es.dotabuff.com/assets/heroes/underlord.jpg,https://es.dotabuff.com/heroes/underlord
Undying,https://es.dotabuff.com/assets/heroes/undying.jpg,https://es.dotabuff.com/heroes/undying
Wraith King,https://es.dotabuff.com/assets/heroes/wraith-king.jpg,https://es.dotabuff.com/heroes/wraith-king
Anti Mage,https://es.dotabuff.com/assets/heroes/anti-mage.jpg,https://es.dotabuff.com/heroes/anti-mage
Arc Warden,https://es.dotabuff.com/assets/heroes/arc-warden.jpg,https://es.dotabuff.com/heroes/arc-warden
Bloodseeker,https://es.dotabuff.com/assets/heroes/bloodseeker.jpg,https://es.dotabuff.com/heroes/bloodseeker
