nombre,link-Pagina,popularidad,win_rate
Alchemist,https://es.dotabuff.com/heroes/alchemist,43rd,49.60%
Axe,https://es.dotabuff.com/heroes/axe,8th,52.48%
Bristleback,https://es.dotabuff.com/heroes/bristleback,32nd,49.62%
Centaur Warrunner,https://es.dotabuff.com/heroes/centaur-warrunner,66th,51.03%
Chaos Knight,https://es.dotabuff.com/heroes/chaos-knight,83rd,49.55%
Dawnbreaker,https://es.dotabuff.com/heroes/dawnbreaker,38th,52.02%
Doom,https://es.dotabuff.com/heroes/doom,82nd,46.49%
Dragon Knight,https://es.dotabuff.com/heroes/dragon-knight,31st,48.42%
Earth Spirit,https://es.dotabuff.com/heroes/earth-spirit,95th,49.59%
Earthshaker,https://es.dotabuff.com/heroes/earthshaker,13th,49.00%
Elder Titan,https://es.dotabuff.com/heroes/elder-titan,123rd,50.90%
Huskar,https://es.dotabuff.com/heroes/huskar,72nd,48.25%
Kunkka,https://es.dotabuff.com/heroes/kunkka,94th,48.25%
Legion Commander,https://es.dotabuff.com/heroes/legion-commander,11th,52.87%
Lifestealer,https://es.dotabuff.com/heroes/lifestealer,36th,52.92%
Mars,https://es.dotabuff.com/heroes/mars,71st,47.29%
Night Stalker,https://es.dotabuff.com/heroes/night-stalker,55th,52.89%
Ogre Magi,https://es.dotabuff.com/heroes/ogre-magi,7th,51.10%
Omniknight,https://es.dotabuff.com/heroes/omniknight,120th,48.69%
Primal Beast,https://es.dotabuff.com/heroes/primal-beast,112th,46.59%
Pudge,https://es.dotabuff.com/heroes/pudge,2nd,50.75%
Slardar,https://es.dotabuff.com/heroes/slardar,70th,49.22%
Spirit Breaker,https://es.dotabuff.com/heroes/spirit-breaker,20th,51.13%
Sven,https://es.dotabuff.com/heroes/sven,111th,45.39%
Tidehunter,https://es.dotabuff.com/heroes/tidehunter,46th,51.35%
Timbersaw,https://es.dotabuff.com/heroes/timbersaw,50th,48.71%
Tiny,https://es.dotabuff.com/heroes/tiny,51st,47.93%
Treant Protector,https://es.dotabuff.com/heroes/treant-protector,104th,48.29%
Tusk,https://es.dotabuff.com/heroes/tusk,80th,46.07%
Underlord,https://es.dotabuff.com/heroes/underlord,96th,50.67%
Undying,https://es.dotabuff.com/heroes/undying,42nd,51.62%
Wraith King,https://es.dotabuff.com/heroes/wraith-king,28th,53.62%
Anti Mage,https://es.dotabuff.com/heroes/anti-mage,19th,49.57%
Arc Warden,https://es.dotabuff.com/heroes/arc-warden,103rd,51.64%
Bloodseeker,https://es.dotabuff.com/heroes/bloodseeker,56th,54.09%
Bounty Hunter,https://es.dotabuff.com/heroes/bounty-hunter,47th,50.74%
Clinkz,https://es.dotabuff.com/heroes/clinkz,89th,50.39%
Drow Ranger,https://es.dotabuff.com/heroes/drow-ranger,18th,50.65%
Ember Spirit,https://es.dotabuff.com/heroes/ember-spirit,88th,47.69%
Faceless Void,https://es.dotabuff.com/heroes/faceless-void,68th,45.34%
Gyrocopter,https://es.dotabuff.com/heroes/gyrocopter,73rd,47.90%
Hoodwink,https://es.dotabuff.com/heroes/hoodwink,40th,46.16%
Juggernaut,https://es.dotabuff.com/heroes/juggernaut,14th,51.76%
Kez,https://es.dotabuff.com/heroes/kez,69th,49.57%
Luna,https://es.dotabuff.com/heroes/luna,84th,46.07%
Medusa,https://es.dotabuff.com/heroes/medusa,57th,52.21%
Meepo,https://es.dotabuff.com/heroes/meepo,119th,48.62%
Monkey King,https://es.dotabuff.com/heroes/monkey-king,61st,45.13%
Morphling,https://es.dotabuff.com/heroes/morphling,33rd,48.75%
Naga Siren,https://es.dotabuff.com/heroes/naga-siren,124th,45.80%
Phantom Assassin,https://es.dotabuff.com/heroes/phantom-assassin,3rd,50.56%
Phantom Lancer,https://es.dotabuff.com/heroes/phantom-lancer,90th,47.87%
Razor,https://es.dotabuff.com/heroes/razor,62nd,50.68%
Riki,https://es.dotabuff.com/heroes/riki,76th,50.75%
Shadow Fiend,https://es.dotabuff.com/heroes/shadow-fiend,21st,47.04%
Slark,https://es.dotabuff.com/heroes/slark,29th,49.07%
Sniper,https://es.dotabuff.com/heroes/sniper,5th,48.39%
Spectre,https://es.dotabuff.com/heroes/spectre,9th,52.70%
Templar Assassin,https://es.dotabuff.com/heroes/templar-assassin,75th,44.02%
Terrorblade,https://es.dotabuff.com/heroes/terrorblade,97th,46.38%
Troll Warlord,https://es.dotabuff.com/heroes/troll-warlord,100th,50.06%
Ursa,https://es.dotabuff.com/heroes/ursa,35th,48.76%
Viper,https://es.dotabuff.com/heroes/viper,48th,49.22%
Weaver,https://es.dotabuff.com/heroes/weaver,65th,48.28%
Ancient Apparition,https://es.dotabuff.com/heroes/ancient-apparition,60th,51.44%
Crystal Maiden,https://es.dotabuff.com/heroes/crystal-maiden,22nd,50.47%
Death Prophet,https://es.dotabuff.com/heroes/death-prophet,108th,49.12%
Disruptor,https://es.dotabuff.com/heroes/disruptor,63rd,50.13%
Enchantress,https://es.dotabuff.com/heroes/enchantress,110th,47.55%
Grimstroke,https://es.dotabuff.com/heroes/grimstroke,81st,49.07%
Jakiro,https://es.dotabuff.com/heroes/jakiro,25th,50.19%
Keeper Of The Light,https://es.dotabuff.com/heroes/keeper-of-the-light,113th,47.33%
Leshrac,https://es.dotabuff.com/heroes/leshrac,116th,49.54%
Lich,https://es.dotabuff.com/heroes/lich,6th,55.57%
Lina,https://es.dotabuff.com/heroes/lina,4th,50.80%
Lion,https://es.dotabuff.com/heroes/lion,1st,49.26%
Muerta,https://es.dotabuff.com/heroes/muerta,102nd,47.43%
Natures Prophet,https://es.dotabuff.com/heroes/natures-prophet,52nd,44.99%
Necrophos,https://es.dotabuff.com/heroes/necrophos,24th,52.59%
Oracle,https://es.dotabuff.com/heroes/oracle,85th,52.52%
Outworld Destroyer,https://es.dotabuff.com/heroes/outworld-destroyer,67th,51.57%
Puck,https://es.dotabuff.com/heroes/puck,53rd,48.67%
Pugna,https://es.dotabuff.com/heroes/pugna,78th,48.79%
Queen Of Pain,https://es.dotabuff.com/heroes/queen-of-pain,23rd,48.85%
Ringmaster,https://es.dotabuff.com/heroes/ringmaster,107th,48.02%
Rubick,https://es.dotabuff.com/heroes/rubick,10th,46.78%
Shadow Demon,https://es.dotabuff.com/heroes/shadow-demon,92nd,48.30%
Shadow Shaman,https://es.dotabuff.com/heroes/shadow-shaman,17th,52.63%
Silencer,https://es.dotabuff.com/heroes/silencer,27th,53.05%
Skywrath Mage,https://es.dotabuff.com/heroes/skywrath-mage,54th,49.94%
Storm Spirit,https://es.dotabuff.com/heroes/storm-spirit,58th,49.97%
Tinker,https://es.dotabuff.com/heroes/tinker,105th,47.35%
Warlock,https://es.dotabuff.com/heroes/warlock,44th,53.00%
Witch Doctor,https://es.dotabuff.com/heroes/witch-doctor,12th,51.77%
Zeus,https://es.dotabuff.com/heroes/zeus,15th,50.90%
Abaddon,https://es.dotabuff.com/heroes/abaddon,37th,56.03%
Bane,https://es.dotabuff.com/heroes/bane,115th,49.38%
Batrider,https://es.dotabuff.com/heroes/batrider,121st,43.80%
Beastmaster,https://es.dotabuff.com/heroes/beastmaster,101st,47.55%
Brewmaster,https://es.dotabuff.com/heroes/brewmaster,125th,49.55%
Broodmother,https://es.dotabuff.com/heroes/broodmother,99th,51.03%
Chen,https://es.dotabuff.com/heroes/chen,126th,43.58%
Clockwerk,https://es.dotabuff.com/heroes/clockwerk,49th,52.94%
Dark Seer,https://es.dotabuff.com/heroes/dark-seer,122nd,49.45%
Dark Willow,https://es.dotabuff.com/heroes/dark-willow,64th,48.77%
Dazzle,https://es.dotabuff.com/heroes/dazzle,41st,47.95%
Enigma,https://es.dotabuff.com/heroes/enigma,98th,49.86%
Invoker,https://es.dotabuff.com/heroes/invoker,16th,48.08%
