hero_id,popularidad,win_rate
1,54th,49.72%
2,13th,52.20%
3,29th,50.00%
4,70th,50.38%
5,85th,49.35%
6,39th,52.30%
7,84th,46.39%
8,34th,48.64%
9,90th,49.15%
10,9th,48.91%
11,122nd,51.30%
12,73rd,48.46%
13,99th,47.71%
14,11th,52.75%
15,33rd,52.76%
16,71st,47.30%
17,49th,52.94%
18,7th,50.94%
19,121st,48.88%
20,113th,46.46%
21,3rd,50.44%
22,72nd,48.81%
23,22nd,50.95%
24,111th,44.99%
25,41st,52.12%
26,53rd,48.69%
27,37th,47.87%
28,104th,48.18%
29,80th,46.01%
30,101st,50.29%
31,43rd,51.46%
32,31st,53.45%
33,19th,48.75%
34,108th,50.93%
35,18th,55.78%
36,52nd,50.89%
37,91st,50.32%
38,20th,50.07%
39,81st,48.42%
40,69th,45.06%
41,74th,47.62%
42,46th,46.13%
43,15th,51.47%
44,68th,50.12%
45,89th,45.65%
46,61st,52.05%
47,120th,48.71%
48,55th,45.20%
49,36th,48.52%
50,125th,44.70%
51,2nd,50.40%
52,94th,47.08%
53,62nd,50.73%
54,75th,50.67%
55,27th,46.68%
56,32nd,49.00%
57,6th,48.28%
58,10th,52.52%
59,77th,44.12%
60,103rd,46.62%
61,102nd,49.80%
62,40th,48.50%
63,48th,49.52%
64,63rd,48.21%
65,59th,51.64%
66,23rd,50.13%
67,105th,48.79%
68,60th,50.21%
69,106th,47.29%
70,78th,49.16%
71,28th,49.95%
72,112th,47.87%
73,116th,48.75%
74,5th,55.51%
75,4th,50.93%
76,1st,49.36%
77,98th,47.55%
78,50th,44.97%
79,25th,52.52%
80,87th,52.69%
81,67th,51.81%
82,57th,48.51%
83,79th,48.60%
84,21st,48.94%
85,109th,47.73%
86,12th,46.78%
87,93rd,48.21%
88,17th,52.50%
89,26th,53.16%
90,56th,49.98%
91,58th,49.90%
92,110th,47.94%
93,45th,53.23%
94,8th,51.60%
95,14th,51.24%
96,35th,55.82%
97,115th,49.31%
98,119th,43.32%
99,88th,47.60%
100,124th,49.78%
101,97th,51.43%
102,126th,42.91%
103,42nd,52.73%
104,123rd,49.48%
105,66th,48.73%
106,44th,48.23%
107,100th,49.83%
108,16th,48.04%
109,96th,51.10%
110,117th,51.87%
111,76th,48.94%
112,24th,48.66%
113,83rd,49.79%
114,86th,45.52%
115,30th,50.66%
116,114th,46.00%
117,65th,50.33%
118,82nd,50.26%
119,92nd,45.72%
120,47th,46.48%
121,51st,50.52%
122,38th,48.42%
123,118th,51.85%
124,96th,51.03%
125,64th,42.83%
126,107th,50.05%
