nombre,link-Pagina,popularidad,win_rate
Alchemist,https://es.dotabuff.com/heroes/alchemist,46th,49.59%
Axe,https://es.dotabuff.com/heroes/axe,8th,52.28%
Bristleback,https://es.dotabuff.com/heroes/bristleback,32nd,49.65%
Centaur Warrunner,https://es.dotabuff.com/heroes/centaur-warrunner,67th,50.85%
Chaos Knight,https://es.dotabuff.com/heroes/chaos-knight,83rd,49.49%
Dawnbreaker,https://es.dotabuff.com/heroes/dawnbreaker,38th,52.21%
Doom,https://es.dotabuff.com/heroes/doom,79th,46.52%
Dragon Knight,https://es.dotabuff.com/heroes/dragon-knight,31st,48.29%
Earth Spirit,https://es.dotabuff.com/heroes/earth-spirit,93rd,49.37%
Earthshaker,https://es.dotabuff.com/heroes/earthshaker,12th,49.00%
Elder Titan,https://es.dotabuff.com/heroes/elder-titan,123rd,51.02%
Huskar,https://es.dotabuff.com/heroes/huskar,73rd,48.24%
Kunkka,https://es.dotabuff.com/heroes/kunkka,95th,47.97%
Legion Commander,https://es.dotabuff.com/heroes/legion-commander,13th,52.74%
Lifestealer,https://es.dotabuff.com/heroes/lifestealer,34th,52.86%
Mars,https://es.dotabuff.com/heroes/mars,71st,47.35%
Night Stalker,https://es.dotabuff.com/heroes/night-stalker,54th,52.85%
Ogre Magi,https://es.dotabuff.com/heroes/ogre-magi,7th,51.13%
Omniknight,https://es.dotabuff.com/heroes/omniknight,120th,48.11%
Primal Beast,https://es.dotabuff.com/heroes/primal-beast,113th,46.39%
Pudge,https://es.dotabuff.com/heroes/pudge,2nd,50.64%
Slardar,https://es.dotabuff.com/heroes/slardar,70th,49.17%
Spirit Breaker,https://es.dotabuff.com/heroes/spirit-breaker,20th,51.10%
Sven,https://es.dotabuff.com/heroes/sven,110th,45.28%
Tidehunter,https://es.dotabuff.com/heroes/tidehunter,40th,51.46%
Timbersaw,https://es.dotabuff.com/heroes/timbersaw,53rd,48.74%
Tiny,https://es.dotabuff.com/heroes/tiny,50th,47.91%
Treant Protector,https://es.dotabuff.com/heroes/treant-protector,104th,48.28%
Tusk,https://es.dotabuff.com/heroes/tusk,80th,45.93%
Underlord,https://es.dotabuff.com/heroes/underlord,97th,50.73%
Undying,https://es.dotabuff.com/heroes/undying,44th,51.68%
Wraith King,https://es.dotabuff.com/heroes/wraith-king,28th,53.58%
Anti Mage,https://es.dotabuff.com/heroes/anti-mage,19th,49.38%
Arc Warden,https://es.dotabuff.com/heroes/arc-warden,108th,51.42%
Bloodseeker,https://es.dotabuff.com/heroes/bloodseeker,42nd,54.47%
Bounty Hunter,https://es.dotabuff.com/heroes/bounty-hunter,48th,50.84%
Clinkz,https://es.dotabuff.com/heroes/clinkz,89th,50.63%
Drow Ranger,https://es.dotabuff.com/heroes/drow-ranger,18th,50.61%
Ember Spirit,https://es.dotabuff.com/heroes/ember-spirit,85th,48.10%
Faceless Void,https://es.dotabuff.com/heroes/faceless-void,68th,45.21%
Gyrocopter,https://es.dotabuff.com/heroes/gyrocopter,72nd,47.88%
Hoodwink,https://es.dotabuff.com/heroes/hoodwink,45th,46.05%
Juggernaut,https://es.dotabuff.com/heroes/juggernaut,14th,51.75%
Kez,https://es.dotabuff.com/heroes/kez,69th,49.84%
Luna,https://es.dotabuff.com/heroes/luna,84th,45.92%
Medusa,https://es.dotabuff.com/heroes/medusa,58th,52.16%
Meepo,https://es.dotabuff.com/heroes/meepo,119th,48.60%
Monkey King,https://es.dotabuff.com/heroes/monkey-king,61st,44.97%
Morphling,https://es.dotabuff.com/heroes/morphling,33rd,48.75%
Naga Siren,https://es.dotabuff.com/heroes/naga-siren,124th,46.04%
Phantom Assassin,https://es.dotabuff.com/heroes/phantom-assassin,3rd,50.60%
Phantom Lancer,https://es.dotabuff.com/heroes/phantom-lancer,90th,47.95%
Razor,https://es.dotabuff.com/heroes/razor,62nd,50.79%
Riki,https://es.dotabuff.com/heroes/riki,76th,50.73%
Shadow Fiend,https://es.dotabuff.com/heroes/shadow-fiend,23rd,46.82%
Slark,https://es.dotabuff.com/heroes/slark,30th,49.23%
Sniper,https://es.dotabuff.com/heroes/sniper,5th,48.43%
Spectre,https://es.dotabuff.com/heroes/spectre,9th,52.75%
Templar Assassin,https://es.dotabuff.com/heroes/templar-assassin,75th,43.86%
Terrorblade,https://es.dotabuff.com/heroes/terrorblade,96th,46.29%
Troll Warlord,https://es.dotabuff.com/heroes/troll-warlord,102nd,49.97%
Ursa,https://es.dotabuff.com/heroes/ursa,35th,48.73%
Viper,https://es.dotabuff.com/heroes/viper,51st,49.19%
Weaver,https://es.dotabuff.com/heroes/weaver,64th,48.35%
Ancient Apparition,https://es.dotabuff.com/heroes/ancient-apparition,59th,51.40%
Crystal Maiden,https://es.dotabuff.com/heroes/crystal-maiden,22nd,50.46%
Death Prophet,https://es.dotabuff.com/heroes/death-prophet,106th,49.20%
Disruptor,https://es.dotabuff.com/heroes/disruptor,63rd,50.14%
Enchantress,https://es.dotabuff.com/heroes/enchantress,111th,47.49%
Grimstroke,https://es.dotabuff.com/heroes/grimstroke,81st,49.11%
Jakiro,https://es.dotabuff.com/heroes/jakiro,26th,50.20%
Keeper Of The Light,https://es.dotabuff.com/heroes/keeper-of-the-light,112th,47.27%
Leshrac,https://es.dotabuff.com/heroes/leshrac,116th,49.65%
Lich,https://es.dotabuff.com/heroes/lich,6th,55.43%
Lina,https://es.dotabuff.com/heroes/lina,4th,50.80%
Lion,https://es.dotabuff.com/heroes/lion,1st,49.34%
Muerta,https://es.dotabuff.com/heroes/muerta,100th,47.47%
Natures Prophet,https://es.dotabuff.com/heroes/natures-prophet,52nd,45.04%
Necrophos,https://es.dotabuff.com/heroes/necrophos,24th,52.47%
Oracle,https://es.dotabuff.com/heroes/oracle,88th,52.55%
Outworld Destroyer,https://es.dotabuff.com/heroes/outworld-destroyer,65th,51.64%
Puck,https://es.dotabuff.com/heroes/puck,56th,48.67%
Pugna,https://es.dotabuff.com/heroes/pugna,78th,48.63%
Queen Of Pain,https://es.dotabuff.com/heroes/queen-of-pain,21st,48.79%
Ringmaster,https://es.dotabuff.com/heroes/ringmaster,107th,47.87%
Rubick,https://es.dotabuff.com/heroes/rubick,10th,46.83%
Shadow Demon,https://es.dotabuff.com/heroes/shadow-demon,91st,48.42%
Shadow Shaman,https://es.dotabuff.com/heroes/shadow-shaman,17th,52.67%
Silencer,https://es.dotabuff.com/heroes/silencer,27th,53.02%
Skywrath Mage,https://es.dotabuff.com/heroes/skywrath-mage,55th,49.82%
Storm Spirit,https://es.dotabuff.com/heroes/storm-spirit,57th,49.94%
Tinker,https://es.dotabuff.com/heroes/tinker,109th,47.92%
Warlock,https://es.dotabuff.com/heroes/warlock,43rd,53.16%
Witch Doctor,https://es.dotabuff.com/heroes/witch-doctor,11th,51.79%
Zeus,https://es.dotabuff.com/heroes/zeus,15th,50.96%
Abaddon,https://es.dotabuff.com/heroes/abaddon,37th,56.07%
Bane,https://es.dotabuff.com/heroes/bane,115th,49.49%
Batrider,https://es.dotabuff.com/heroes/batrider,121st,44.03%
Beastmaster,https://es.dotabuff.com/heroes/beastmaster,94th,47.51%
Brewmaster,https://es.dotabuff.com/heroes/brewmaster,125th,49.58%
Broodmother,https://es.dotabuff.com/heroes/broodmother,103rd,50.96%
Chen,https://es.dotabuff.com/heroes/chen,126th,43.40%
Clockwerk,https://es.dotabuff.com/heroes/clockwerk,41st,53.02%
Dark Seer,https://es.dotabuff.com/heroes/dark-seer,122nd,49.56%
Dark Willow,https://es.dotabuff.com/heroes/dark-willow,66th,48.73%
Dazzle,https://es.dotabuff.com/heroes/dazzle,49th,47.92%
Enigma,https://es.dotabuff.com/heroes/enigma,101st,49.68%
Invoker,https://es.dotabuff.com/heroes/invoker,16th,48.13%
Io,https://es.dotabuff.com/heroes/io,98th,50.81%
Lone Druid,https://es.dotabuff.com/heroes/lone-druid,118th,51.08%
Lycan,https://es.dotabuff.com/heroes/lycan,99th,49.78%
Magnus,https://es.dotabuff.com/heroes/magnus,25th,48.42%
Marci,https://es.dotabuff.com/heroes/marci,82nd,49.21%
Mirana,https://es.dotabuff.com/heroes/mirana,86th,45.48%
Nyx Assassin,https://es.dotabuff.com/heroes/nyx-assassin,29th,50.70%
Pangolier,https://es.dotabuff.com/heroes/pangolier,114th,46.27%
Phoenix,https://es.dotabuff.com/heroes/phoenix,74th,50.15%
Sand King,https://es.dotabuff.com/heroes/sand-king,77th,49.92%
Snapfire,https://es.dotabuff.com/heroes/snapfire,87th,45.57%
Techies,https://es.dotabuff.com/heroes/techies,47th,46.57%
Vengeful Spirit,https://es.dotabuff.com/heroes/vengeful-spirit,39th,50.83%
Venomancer,https://es.dotabuff.com/heroes/venomancer,36th,49.10%
Visage,https://es.dotabuff.com/heroes/visage,117th,52.06%
Void Spirit,https://es.dotabuff.com/heroes/void-spirit,92nd,51.38%
Windranger,https://es.dotabuff.com/heroes/windranger,60th,42.95%
Winter Wyvern,https://es.dotabuff.com/heroes/winter-wyvern,105th,49.93%
